20240809	23:01:33	0602d98f-1308-4a15-b857-5b0036fedd7f	/new-page	GET
20240809	23:01:41	61edfa94-a4c7-472e-8954-2be1030a8460	/new-page	GET
20240809	23:01:41	83a3fdff-e546-46a9-a110-b6caea493953	/css/style.css	GET
20240809	23:01:41	07658887-64e8-4341-a00c-c9b101ad2987	/img/img1.jpg	GET
20240812	11:59:47	72b8177a-4bda-442e-bf67-4ddb7572071a	GET	undefined	/
20240812	12:01:05	0ecb08e9-da16-4b21-b9c1-8592d614a816	GET	undefined	/
20240812	12:04:44	3efdcd9d-3cb3-4e6d-9a24-9af50c3ff956	GET	undefined	/
20240812	12:04:44	aa14ca6d-9d61-4b56-aaf2-7daa4ab06d04	GET	undefined	/css/style.css
20240812	12:04:44	6baeda0f-cdfa-4762-bc6f-09da65981bb2	GET	undefined	/favicon.ico
20240812	12:05:07	6f1dc77c-8d7c-4e65-b925-4b433e341c9d	GET	undefined	/
20240812	12:05:08	efd43f71-c959-4f6f-9a3b-c4c273da84ac	GET	undefined	/css/style.css
20240812	12:07:40	05a61978-9b4f-405c-a4f9-8c13dcb372e0	GET	https://www.google.com	/
20240812	12:09:05	4b27dfb8-0169-4f02-bcfd-6496f2ac953b	GET	https://www.google.com	/
20240812	12:14:58	97dc728c-9e4f-4c90-8710-2ab457410ab5	GET	undefined	/
20240812	12:14:58	34adcf04-cdab-4eff-bf5e-1c8e76313bc2	GET	undefined	/css/style.css
20240812	12:15:02	37029bc6-aa46-4788-bbaf-ebd151e97750	GET	https://www.google.com	/
20240812	12:15:14	b49a3b12-1a40-4600-9f37-4d3676ef50ff	GET	https://www.google.com	/
20240812	12:17:00	9ed486c8-8abd-479c-9817-1654200cd7f7	GET	https://www.google.com	/
20240812	12:19:06	934c2edf-db42-422f-b826-bdbd18238d57	GET	https://www.google.com	/
20240812	12:21:42	dac06ba3-b326-4551-9640-85ee07a51727	GET	https://www.google.com	/
20240812	12:24:27	fc34fcd8-ce6c-435f-9eb3-d9192236478a	GET	https://www.google.com	/
20240812	12:24:37	b69a5325-b7b5-4bbb-9980-dfcc3acf8403	GET	https://www.google.com	/
20240812	12:28:32	26230244-1e31-478e-b624-471b66377979	GET	https://www.google.com	/
20240812	12:29:22	f80b67b4-fdb8-403e-b45b-8d060c0d7844	GET	https://www.google.com	/
